0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:07:42 +0530] "GET /StudentDetailsTask/DeleteDetails.jsp?id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:07:42 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=110 HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:08:22 +0530] "GET /StudentDetailsTask/SaveStudent.jsp?id=2&name=pqr&city=pune&contact=999999999 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:08:22 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=200 HTTP/1.1" 200 1744
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:08:33 +0530] "GET /StudentDetailsTask/EditDetails.jsp?id=2 HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:09:12 +0530] "GET /StudentDetailsTask/SaveEdit.jsp?name=PQR&city=Pune&contact=9898989898 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:09:12 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=300 HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:09:37 +0530] "GET /StudentDetailsTask/EditDetails.jsp?id=2 HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:09:55 +0530] "GET /StudentDetailsTask/SaveEdit.jsp?name=PQR&city=Pune&contact=9898989898 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:09:55 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=300 HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:10:36 +0530] "GET /StudentDetailsTask/EditDetails.jsp?id=2 HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:10:48 +0530] "GET /StudentDetailsTask/EditDetails.jsp?id=2 HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:11:15 +0530] "GET /StudentDetailsTask/SaveEdit.jsp?name=PQR&city=Pune&contact=9898989898 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:11:15 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=300 HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:11:25 +0530] "GET /StudentDetailsTask/SaveEdit.jsp?name=PQR&city=Pune&contact=9898989898 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:11:25 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=300 HTTP/1.1" 200 1756
